Targets,K-Steering,CAA,DCT
casual,0.046510357,-0.1807719,0.12326275
cautious,0.659106,0.65984535,0.36152473
concise,0.50391495,0.028190231,0.20095089
empathetic,0.07684813,0.4442502,0.15691417
expert,0.6239267,0.65599614,0.20165473
