Targets,K-Steering,CAA,DCT
"Analogy Construction, Reductio ad Absurdum",0.0002263409,0.04063437,0.06496942
"Analogy Construction, Straw Man Reframing",0.05195655,0.031137325,0.008340925
"Reductio ad Absurdum, Straw Man Reframing",0.000109646666,1.3549819e-05,0.011957258
