Targets,K-Steering,CAA,DCT
casual,0.114782274,-0.034889206,0.050772518
cautious,0.53902984,0.4254223,0.34712318
concise,0.59019494,-0.05509926,0.21107394
empathetic,0.43267062,0.39248374,0.33932984
expert,0.6229217,0.47052243,0.26026657
